"","title","author","subject","abstract","meta"
"11","Terrain Recognition and Contact Force Estimation through a Sensorized Paw for Legged Robots","Aleksander Vangen, Tejal Barnwal, Jørgen Anker Olsen, Kostas Alexis","Robotics (cs.RO)","This paper introduces the Terrain Recognition And Contact Force Estimation Paw, a compact and sensorized shoe designed for legged robots. The paw end-effector is made of silicon that deforms upon the application of contact forces, while an embedded micro camera is utilized to capture images of the deformed inner surface inside the shoe, and a microphone picks up audio signals. Processed through machine learning techniques, the images are mapped to compute an accurate estimate of the cumulative 3D force vector, while the audio signals are analyzed to identify the terrain class (e.g., gravel, snow). By leveraging its on-edge computation ability, the paw enhances the capabilities of legged robots by providing key information in real-time that can be used to adapt locomotion control strategies. To assess the performance of this novel sensorized paw, we conducted experiments on the data collected through a specially-designed testbed for force estimation, as well as data from recordings of the audio signatures of different terrains interacting with the paw. The results demonstrate the accuracy and effectiveness of the system, highlighting its potential for improving legged robot performance.","Tue, 7 Nov 2023 10:13:12 UTC (10,330 KB)"
"12","Runner re-identification from single-view video in the open-world setting","Tomohiro Suzuki, Kazushi Tsutsui, Kazuya Takeda, Keisuke Fujii","Computer Vision and Pattern Recognition (cs.CV)","In many sports, player re-identification is crucial for automatic video processing and analysis. However, most of the current studies on player re-identification in multi- or single-view sports videos focus on re-identification in the closed-world setting using labeled image dataset, and player re-identification in the open-world setting for automatic video analysis is not well developed. In this paper, we propose a runner re-identification system that directly processes single-view video to address the open-world setting. In the open-world setting, we cannot use labeled dataset and have to process video directly. The proposed system automatically processes raw video as input to identify runners, and it can identify runners even when they are framed out multiple times. For the automatic processing, we first detect the runners in the video using the pre-trained YOLOv8 and the fine-tuned EfficientNet. We then track the runners using ByteTrack and detect their shoes with the fine-tuned YOLOv8. Finally, we extract the image features of the runners using an unsupervised method using the gated recurrent unit autoencoder model. To improve the accuracy of runner re-identification, we use dynamic features of running sequence images. We evaluated the system on a running practice video dataset and showed that the proposed method identified runners with higher accuracy than one of the state-of-the-art models in unsupervised re-identification. We also showed that our unsupervised running dynamic feature extractor was effective for runner re-identification. Our runner re-identification system can be useful for the automatic analysis of running videos.","Wed, 18 Oct 2023 04:15:39 UTC (2,147 KB)"
"13","Optimized shock-protecting microstructures","Zizhou Huang, Daniele Panozzo, Denis Zorin","Optimization and Control (math.OC)","Mechanical shock is a common occurrence in various settings, there are two different scenarios for shock protection: catastrophic protection (e.g. car collisions and falls) and routine protection (e.g. shoe soles and shock absorbers for car seats). The former protects against one-time events, the latter against periodic shocks and loads. Common shock absorbers based on plasticity and fracturing materials are suitable for the former, while our focus is on the latter, where elastic structures are useful. Improved elastic materials protecting against shock can be used in applications such as automotive suspension, furniture like sofas and mattresses, landing gear systems, etc. Materials offering optimal protection against shock have a highly non-linear elastic response: their reaction force needs to be as close as possible to constant with respect to deformation. In this paper, we use shape optimization and topology search to design 2D families of microstructures approximating the ideal behavior across a range of deformations, leading to superior shock protection. We present an algorithmic pipeline for the optimal design of such families combining differentiable nonlinear homogenization with self-contact and an optimization algorithm. These advanced 2D designs can be extruded and fabricated with existing 3D printing technologies. We validate their effectiveness through experimental testing.","Wed, 11 Oct 2023 20:51:12 UTC (16,477 KB)[v2] Mon, 16 Oct 2023 14:12:27 UTC (16,634 KB)"
"14","Cosmological observational constraints on the power law $f(Q)$ type modified gravity theory","Sanjay Mandal, Sneha Pradhan, P.K. Sahoo, Tiberiu Harko","General Relativity and Quantum Cosmology (gr-qc)","In modern cosmology, the curiosity of ultimately understanding the nature of the dark energy controlling the recent acceleration of the Universe motivates us to explore its properties by using some novel approaches. In this work, to explore the properties of dark energy we adopt the modified $f(Q)$ gravity theory, where the non-metricity scalar $Q$, emerging from Weyl geometry, plays the dynamical role. For the function $f(Q)$ we adopt the functional form $f(Q)=Q+ 6\gamma\,H_0^2(Q/Q_0)^n$, where $n,\, \gamma,\, H_0$ and $Q_0$ are constants. Then, we test our constructed model against the various observational datasets, such as the Hubble, and the Pantheon+SHOES samples, and their combined sample, through the Markov Chain Monte Carlo (MCMC) statistical analysis. We also employ the parameter estimation technique to constrain the free parameters of the model. In addition, we use the constrained values of the model parameters to explore a few implications of the cosmological model. A detailed comparison of the predictions of our model with the $\Lambda$CDM model is also performed. In particular, we discuss in detail some cosmographic parameters, like the deceleration, the jerk, and the snap parameters, as well as the behavior of the dark energy and matter energy densities to see the evolution of various energy/matter profiles. The $Om$ diagnostics is also presented to test the dark energy nature of our model, as compared to the standard $\Lambda$CDM paradigm. Our findings show that the considered version of the non-metric $f(Q)$ type modified gravity theory, despite some differences with respect to the $\Lambda$CDM paradigm, can still explain the current observational results on the cosmological parameters, and provide a convincing and consistent account for the accelerating expansion of the Universe.","Fri, 29 Sep 2023 04:56:29 UTC (994 KB)[v2] Sat, 16 Dec 2023 08:25:33 UTC (989 KB)"
"15","AaP-ReID: Improved Attention-Aware Person Re-identification","Vipin Gautam, Shitala Prasad, Sharad Sinha","Computer Vision and Pattern Recognition (cs.CV)","Person re-identification (ReID) is a well-known problem in the field of computer vision. The primary objective is to identify a specific individual within a gallery of images. However, this task is challenging due to various factors, such as pose variations, illumination changes, obstructions, and the presence ofconfusing backgrounds. Existing ReID methods often fail to capture discriminative features (e.g., head, shoes, backpacks) and instead capture irrelevant features when the target is occluded. Motivated by the success of part-based and attention-based ReID methods, we improve AlignedReID++ and present AaP-ReID, a more effective method for person ReID that incorporates channel-wise attention into a ResNet-based architecture. Our method incorporates the Channel-Wise Attention Bottleneck (CWAbottleneck) block and can learn discriminating features by dynamically adjusting the importance ofeach channel in the feature maps. We evaluated Aap-ReID on three benchmark datasets: Market-1501, DukeMTMC-reID, and CUHK03. When compared with state-of-the-art person ReID methods, we achieve competitive results with rank-1 accuracies of 95.6% on Market-1501, 90.6% on DukeMTMC-reID, and 82.4% on CUHK03.","Wed, 27 Sep 2023 16:54:38 UTC (3,455 KB)"
"16","AI-Driven Personalised Offloading Device Prescriptions: A Cutting-Edge Approach to Preventing Diabetes-Related Plantar Forefoot Ulcers and Complications","Sayed Ahmed, Muhammad Ashad Kabir, Muhammad E. H. Chowdhury, Susan Nancarrow","Computers and Society (cs.CY)","Diabetes-related foot ulcers and complications are a significant concern for individuals with diabetes, leading to severe health implications such as lower-limb amputation and reduced quality of life. This chapter discusses applying AI-driven personalised offloading device prescriptions as an advanced solution for preventing such conditions. By harnessing the capabilities of artificial intelligence, this cutting-edge approach enables the prescription of offloading devices tailored to each patient's specific requirements. This includes the patient's preferences on offloading devices such as footwear and foot orthotics and their adaptations that suit the patient's intention of use and lifestyle. Through a series of studies, real-world data analysis and machine learning algorithms, high-risk areas can be identified, facilitating the recommendation of precise offloading strategies, including custom orthotic insoles, shoe adaptations, or specialised footwear. By including patient-specific factors to promote adherence, proactively addressing pressure points and promoting optimal foot mechanics, these personalised offloading devices have the potential to minimise the occurrence of foot ulcers and associated complications. This chapter proposes an AI-powered Clinical Decision Support System (CDSS) to recommend personalised prescriptions of offloading devices (footwear and insoles) for patients with diabetes who are at risk of foot complications. This innovative approach signifies a transformative leap in diabetic foot care, offering promising opportunities for preventive healthcare interventions.","Wed, 6 Sep 2023 13:41:40 UTC (993 KB)"
"17","Conway and Doyle Can Divide by Three, But I Can't","Patrick Lutz","Logic (math.LO)","Conway and Doyle have claimed to be able to divide by three. We attempt to replicate their achievement and fail. In the process, we get tangled up in some shoes and socks and forget how to multiply.","Wed, 20 Sep 2023 20:51:11 UTC (776 KB)"
"18","Unsupervised Landmark Discovery Using Consistency Guided Bottleneck","Mamona Awan, Muhammad Haris Khan, Sanoojan Baliah, Muhammad Ahmad Waseem, Salman Khan, Fahad Shahbaz Khan, Arif Mahmood","Computer Vision and Pattern Recognition (cs.CV)","We study a challenging problem of unsupervised discovery of object landmarks. Many recent methods rely on bottlenecks to generate 2D Gaussian heatmaps however, these are limited in generating informed heatmaps while training, presumably due to the lack of effective structural cues. Also, it is assumed that all predicted landmarks are semantically relevant despite having no ground truth supervision. In the current work, we introduce a consistency-guided bottleneck in an image reconstruction-based pipeline that leverages landmark consistency, a measure of compatibility score with the pseudo-ground truth to generate adaptive heatmaps. We propose obtaining pseudo-supervision via forming landmark correspondence across images. The consistency then modulates the uncertainty of the discovered landmarks in the generation of adaptive heatmaps which rank consistent landmarks above their noisy counterparts, providing effective structural information for improved robustness. Evaluations on five diverse datasets including MAFL, AFLW, LS3D, Cats, and Shoes demonstrate excellent performance of the proposed approach compared to the existing state-of-the-art methods. Our code is publicly available at this https URL.","Tue, 19 Sep 2023 10:57:53 UTC (36,046 KB)"
"19","FashionNTM: Multi-turn Fashion Image Retrieval via Cascaded Memory","Anwesan Pal, Sahil Wadhwa, Ayush Jaiswal, Xu Zhang, Yue Wu, Rakesh Chada, Pradeep Natarajan, Henrik I. Christensen","Computer Vision and Pattern Recognition (cs.CV)","Multi-turn textual feedback-based fashion image retrieval focuses on a real-world setting, where users can iteratively provide information to refine retrieval results until they find an item that fits all their requirements. In this work, we present a novel memory-based method, called FashionNTM, for such a multi-turn system. Our framework incorporates a new Cascaded Memory Neural Turing Machine (CM-NTM) approach for implicit state management, thereby learning to integrate information across all past turns to retrieve new images, for a given turn. Unlike vanilla Neural Turing Machine (NTM), our CM-NTM operates on multiple inputs, which interact with their respective memories via individual read and write heads, to learn complex relationships. Extensive evaluation results show that our proposed method outperforms the previous state-of-the-art algorithm by 50.5%, on Multi-turn FashionIQ -- the only existing multi-turn fashion dataset currently, in addition to having a relative improvement of 12.6% on Multi-turn Shoes -- an extension of the single-turn Shoes dataset that we created in this work. Further analysis of the model in a real-world interactive setting demonstrates two important capabilities of our model -- memory retention across turns, and agnosticity to turn order for non-contradictory feedback. Finally, user study results show that images retrieved by FashionNTM were favored by 83.1% over other multi-turn models. Project page: this https URL","Sun, 20 Aug 2023 05:44:18 UTC (7,199 KB)"
"20","HumanLiff: Layer-wise 3D Human Generation with Diffusion Model","Shoukang Hu, Fangzhou Hong, Tao Hu, Liang Pan, Haiyi Mei, Weiye Xiao, Lei Yang, Ziwei Liu","Computer Vision and Pattern Recognition (cs.CV)","3D human generation from 2D images has achieved remarkable progress through the synergistic utilization of neural rendering and generative models. Existing 3D human generative models mainly generate a clothed 3D human as an undetectable 3D model in a single pass, while rarely considering the layer-wise nature of a clothed human body, which often consists of the human body and various clothes such as underwear, outerwear, trousers, shoes, etc. In this work, we propose HumanLiff, the first layer-wise 3D human generative model with a unified diffusion process. Specifically, HumanLiff firstly generates minimal-clothed humans, represented by tri-plane features, in a canonical space, and then progressively generates clothes in a layer-wise manner. In this way, the 3D human generation is thus formulated as a sequence of diffusion-based 3D conditional generation. To reconstruct more fine-grained 3D humans with tri-plane representation, we propose a tri-plane shift operation that splits each tri-plane into three sub-planes and shifts these sub-planes to enable feature grid subdivision. To further enhance the controllability of 3D generation with 3D layered conditions, HumanLiff hierarchically fuses tri-plane features and 3D layered conditions to facilitate the 3D diffusion model learning. Extensive experiments on two layer-wise 3D human datasets, SynBody (synthetic) and TightCap (real-world), validate that HumanLiff significantly outperforms state-of-the-art methods in layer-wise 3D human generation. Our code will be available at this https URL.","Fri, 18 Aug 2023 17:59:04 UTC (31,173 KB)"
"21","Eco-Friendly Sensing for Human Activity Recognition","Kaede Shintani, Hamada Rizk, Hirozumi Yamaguchi","Signal Processing (eess.SP)","With the increasing number of IoT devices, there is a growing demand for energy-free sensors. Human activity recognition holds immense value in numerous daily healthcare applications. However, the majority of current sensing modalities consume energy, thus limiting their sustainable adoption. In this paper, we present a novel activity recognition system that not only operates without requiring energy for sensing but also harvests energy. Our proposed system utilizes photovoltaic cells, attached to the wrist and shoes, as eco-friendly sensing devices for activity recognition. By capturing photovoltaic readings and employing a deep transformer model with powerful learning capabilities, the system effectively recognizes user activities. To ensure robust performance across various subjects, time periods, and lighting conditions, the system incorporates feature extraction and different processing modules. The evaluation of the proposed system on realistic indoor and outdoor environments demonstrated its ability to recognize activities with an accuracy of 91.7%.","Sun, 30 Jul 2023 08:13:15 UTC (16,256 KB)[v2] Thu, 10 Aug 2023 01:53:14 UTC (16,256 KB)"
"22","Moisture-Driven Degradation Mechanisms in the Viscoelastic Properties of TPU-Based Syntactic Foams","Sabarinathan P Subramaniyan, Pavana Prabhakar","Applied Physics (physics.app-ph)","Syntactic foams have found widespread usage in various applications including, marine, aerospace, automotive, pipe insulation, electrical cable sheathing, and shoe insoles. However, syntactic foams are often exposed to moisture when used in these applications that potentially alter their viscoelastic properties, which influences their long-term durability. Despite their significance, previous research has mainly focused on experimental studies concerning mechanical property changes resulting from filler loading and different matrix materials, overlooking the fundamental mechanisms resulting from moisture exposure. The current paper aims to bridge this gap in knowledge by elucidating the impact of long-term moisture exposure on TPU and TPU-based syntactic foam through multi-scale materials characterization approaches. Here, we choose a flexible syntactic foam manufactured using thermoplastic polyurethane elastomer (TPU) reinforced with glass microballoons (GMB) through selective laser sintering. Specifically, the research investigates the influence of moisture exposure time and the volume fraction of GMB on chemical and microphase morphological changes, along with their associated mechanisms. The study further examines how these microphase morphological changes manifest in viscoelastic properties.","Tue, 25 Jul 2023 17:33:40 UTC (4,020 KB)[v2] Tue, 22 Aug 2023 22:04:07 UTC (4,013 KB)[v3] Mon, 25 Sep 2023 18:40:05 UTC (4,013 KB)"
"23","Dual-modality Smart Shoes for Quantitative Assessment of Hemiplegic Patients' Lower Limbs' Muscle Strength","Huajun Long, Jie Li, Rui Li, Xinfeng Liu, Jingyuan Cheng","Human-Computer Interaction (cs.HC)","Stroke can lead to the impaired motor ability of the patient's lower limbs and hemiplegia. Accurate assessment of the lower limbs' motor ability is important for diagnosis and rehabilitation. To digitalize such assessment so that each test can be traced back any time and subjectivity can be avoided, we test how dual-modality smart shoes equipped with pressure-sensitive insoles and inertial measurement units can be used for this purpose. A 5m walking test protocol, including the left and right turns, is designed. Data are collected from 23 patients and 17 healthy subjects. For the lower limbs' motor ability, the tests are observed by two physicians and assessed using the five graded Medical Research Council scale for muscle examination. The average of two physicians' scores for the same patient is used as the ground truth. Using the feature set we developed, 100\% accuracy is achieved in classifying the patients and healthy subjects. For patients' muscle strength, a mean absolute error of 0.143 and a maximum error of 0.395 is achieved using our feature set and the regression method, closer to the ground truth than the scores from each physician (mean absolute error: 0.217, maximum error: 0.5). We thus validate the possibility of using such smart shoes to objectively and accurately evaluate the lower limbs' muscle strength of the stroke patients.","Tue, 23 May 2023 11:58:45 UTC (946 KB)"
"24","Self-Training Boosted Multi-Faceted Matching Network for Composed Image Retrieval","Haokun Wen, Xuemeng Song, Jianhua Yin, Jianlong Wu, Weili Guan, Liqiang Nie","Multimedia (cs.MM)","The composed image retrieval (CIR) task aims to retrieve the desired target image for a given multimodal query, i.e., a reference image with its corresponding modification text. The key limitations encountered by existing efforts are two aspects: 1) ignoring the multi-faceted query-target matching factors; 2) ignoring the potential unlabeled reference-target image pairs in existing benchmark datasets. To address these two limitations is non-trivial due to the following challenges: 1) how to effectively model the multi-faceted matching factors in a latent way without direct supervision signals; 2) how to fully utilize the potential unlabeled reference-target image pairs to improve the generalization ability of the CIR model. To address these challenges, in this work, we first propose a muLtI-faceted Matching Network (LIMN), which consists of three key modules: multi-grained image/text encoder, latent factor-oriented feature aggregation, and query-target matching modeling. Thereafter, we design an iterative dual self-training paradigm to further enhance the performance of LIMN by fully utilizing the potential unlabeled reference-target image pairs in a semi-supervised manner. Specifically, we denote the iterative dual self-training paradigm enhanced LIMN as LIMN+. Extensive experiments on three real-world datasets, FashionIQ, Shoes, and Birds-to-Words, show that our proposed method significantly surpasses the state-of-the-art baselines.","Wed, 17 May 2023 06:23:06 UTC (3,960 KB)"
