"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"ccthemovieman-1","1 November 2006","An intense Roman epic, a la ""Ben-Hur"" or ""Spartacus,"" it was nice to see something like this made again. It had been since the 1960s that we had seen a 3-hour extravaganza like this.Like Ben-Hur, this is a story of a successful man who loses everything thanks to an evil man, and then has to fight his way back up to seek revenge on that man and to obtain his freedom back. It's a tried-and-true formula. This movie doesn't go to excess on the violence as some of the other more recent epic films did, such as ""Braveheart"" or ""The Patriot.""The acting is excellent, beginning with Russell Crowe, who has established himself as one of the best actors of today. Joaquin Phoenix also put himself ""on the map"" as an actor with his portrayal of the evil ""Commodus."" He's so annoying you want to slap that sucker, which means he's doing a good job acting. Kudos to the rest of the cast, too.Too bad they don't make more of these type of films, as they did in the 1950s and 1960s.","
            9/10
            "
"Leofwine_draca","22 July 2016","An epic, awe-inspiring movie which thankfully shows us that Hollywood hasn't forgotten how to make good movies anymore, this is a film which has it all, from intrigue to suspense to violence to subtle romance. Forget any of the other CGI-laden rubbish filling out the multiplexes, this is a film which simply has to be seen at the cinema - or alternatively on a very big television screen indeed. Due to the fact that this film was hyped up incredibly, it doesn't actually live up to the hype, but nothing could have done. GLADIATOR is pure, old-fashioned escapism, nothing less.For once, the acting is totally flawless. Russell Crowe comes out of nowhere to give us a powerful, sensitive action hero, able to emote without the use of dialogue, delivering his lines when needed with a gruff British accent. Crowe is a revelation here - I hated him in VIRTUOSITY, but his acting is excellent and finely judged, right up there with the brooding intensity of De Niro or Pacino. He is well supported by a varied cast, including Connie Nielsen who makes a very sultry and alluring love interest. Joaquin Phoenix makes his snivelling, whining emperor truly despicable, easily soaking up the entire audience's hatred. Oliver Reed is also very good in what was to be his final role, as the proud but friendly slave owner who becomes Maximus' friend. Richard Harris lends an air of nobility and authenticity in his brief role as the dying emperor Caesar, while noted British actors Derek Jacobi and David Hemmings appear as senators.Okay, so the plot of revenge is a fairly clichéd one and the plot here is reminiscent of a whole number of other films, as well as MACBETH, but it is given added power and resonance by the great acting. The music score is also absolutely excellent and really adds to this film's atmosphere. Physically, it is beautifully made and extremely realistic - you constantly feel that you're in Rome itself. Everything is epic and the whole film is chock-full of grandeur. It looks lovely, it sounds lovely, hell, it is lovely.Director Ridley Scott doesn't skimp on the gore front either, leaving in some gruesome shots of people being cut in half, being decapitated and blood spraying in the air and all over the place. The battle scenes are the highlight of the film and are filmed in a weird way - sometimes sped up, sometimes slowed down - which make them so realistic that you do feel like you're there. They're also very exciting, with Crowe taking on ferocious tigers, masked hulking warriors, and chariots too. The twists and turns in the plot are unexpected and there's a moving, poignant ending giving this film an extra element. Old-fashioned, well-crafted and truly splendid - any movie fan owes it to themselves to see this film.","
            10/10
            "
"allicouldbe","18 February 2019","Seriously the best fantasy film of the modern area with great acting and emotional rollercoastering all the way through. The soundtrack by Zimmer really propels this film","
            10/10
            "
"kbuttstadt","17 February 2021","""Are you not entertained?!?!""One of the most perfect movies ever made. The pacing, the characterization & development. Hans Zimmer's score. John Mathieson's cinematography. Career-making acting from Russell Crowe, Joaquin Phoenix, Connie Nielsen, & Djimon Hounsou. Everything is on point.This movie is an integral part of Ridley Scott's holy trinity, along with Blade Runner & Alien. Endlessly rewatchable. Endlessly quotable. An epic tragedy on the level of Shakespeare & Ancient Greece.This movie will be just as popular a hundred years from now, and no movie about Ancient Rome will have topped it.","
            10/10
            "
"uds3","30 May 2002","It saddens me that a man such as Ridley Scott can work for months on location bringing the most perceptive and detailed vision of ancient Rome to absolute reality, only to incur the inappropriate, juvenile and one dimensional comments such that I have read here - the following few ""reviews"" (and I use the term 'loosely') especially. Comments such as ""horrible movie,""  ""no interesting characters,"" ""bad acting"" and my personal favorite, ""crappy special effects,"" is a sad epitaph to the lack of awareness and utter stupidity of so many viewers.GLADIATOR is one of the finest movies ever made, I don't ""think"" it, I am telling you! Ridley Scott pulled off a jaw-dropping miracle reeling the finished product in at just on $60 million. It has the appearance, continuity and professional veneer of a $300 million production. It is in fact only an adaptation on Samuel Bronston's classic 1964 movie THE FALL OF THE ROMAN EMPIRE, itself the most literate and well-acted epic of the 50's and 60's...and again, the key figure of Marcus Aurelius is handled with such dignity, feeling and intelligence. In 1964 Sir Alec Guinness played Aurelius as a strong and clear-thinking man of moral strength and fortitude. In GLADIATOR, Richard Harris hands in what I consider his best role ever, portraying Aurelius as a political visionary, caring parent and incorruptible leader. Excellent though Russell Crowe is here, it is Ridley Scott makes the film what it is, together with the cinematography and enervating musical score. Russell has actually not that great a dialog overload! In the acting department, Phoenix blows him off the screen as the immoral, aggrieved and ultimately weak emperor in waiting. Oliver Reed as Proximo? Well, how he did not win best supporting actor posthumously I will never know. This is the greatest Oscar scandal in history as far as I am concerned. It was the role of his life and he took it in both hands and wrung his life out into the part....completely it would seem. He died as he would have wished, tanked and slipping off a bar stool in Malta towards the end of filming. But he gave us an unforgettable Proximo and I will long honor his name with the memory of what he did here.Crappy special effects huh?  Well, in the film I saw - I was looking at the COLOSSEUM, not a special effect. I was there with them. I have never seen any CGI effect come close to what these techos achieved. Can you believe there were no more than 48 people ever on set? The ""crowds"" were made up of the same 48 people wearing different clothes and ""matted"" together - you want to tell me it ""looked"" like that? The arena action certainly was a far cry from the ""Chariot Race"" in BEN HUR but there again, what isn't? It was still exciting stuff though, well for the vaguely cerebral set I hasten to add.A film like GLADIATOR comes along probably once every 40 years or so. Its a pity so many didn't notice it THIS time around. Still, you are probably outnumbered three to one.","
            10/10
            "
"shoktart","19 February 2001","Great Story!  Great Writing!  Great Acting!  Great Directing!  Great Score! This movie has it all.  I especially enjoyed the mood of the film.  Even though it has a lot of action, there is a subtle elegance throughout the picture that gives it great style.  The movie flows effortlessly from scene to scene, while at the same time creating wonderful intensity and nail-biting excitement.The acting in the movie more than lives up to expectations.  Russell Crowe is brilliant in his role as Maximus, the ""general who became a slave, who became a gladiator, who defied an emperor.""  Crowe's intense style is perfect for the relentless determination and confidence of Maximus.  Joaquin Phoenix is equally wonderful in his role as Commodus, the corrupt emperor. He plays a great villain because he is able to give Commodus depth by showing certain vulnerable or fragile sides, while at the same time instantly transforming to let the ruthless nature of his volatile character shine.  It also helps that Joaquin has the classic Caesar look that works perfectly with his role.Connie Nielsen is also very good as Lucilla.  However, perhaps the two finest performances in the movie were given by a couple of acting veterans in supporting roles.  Richard Harris and Oliver Reed were exceptional in what will be remembered as crowning achievements at the end of their careers.  Harris was perfect as Marcus Aurelius, the aging Caesar who reflects upon his life and contemplates how the world will remember him. And Reed, especially, gave my personal favorite performance in the movie as Proximo, the trainer for the gladiators.  The way he spoke about the life of a gladiator, the splendor of Rome, and the ""thrill of the Coliseum"" really added excitement and anticipation during the viewing of the movie.Gladiator is filled with many memorable moments that one would need to see more than once to fully appreciate.  The excitement felt for me when Rome is first shown in all its wonder and marvel is my favorite scene.  But the whole movie is a rush!  Hans Zimmer provides the absolute perfect score to capture the different moods in the movie.  Ridley Scott sets the perfect tone with his artistic and creative directing.  I would recommend it to anyone who can stomach intensity and enjoy an epic story for the ages.  Next to Braveheart, this movie is the greatest of all-time!","
            9/10
            "
"fletchy-57354","9 January 2021","Perfect cast, perfect soundtrack, perfect script. I would love an extra battle scene or two and feel there was not enough actual colliseum fights for my bloodthirsty needs.","
            10/10
            "
"auuwws","12 October 2020","Great movie Russell Crowe deserves an Oscar for his role in the movie","
            9/10
            "
"ravenclaw_girlrules","11 December 2020","Rewatched this movie today. I am convinced it is the most perfect movie ever made. It has a strong female character, positive and realistic minority rep (the Roman Empire extended into Africa and I think lots of people forget that), and a compelling revenge plot. Every line moves the plot forward and is memorable. The music is gorgeous. The acting is impeccable. The visuals are absolutely stunning - especially the rose petals raining down as the emperor is ascending on the platform. The visual of the emperor dead in the colosseum while the crowd lifts Maximus away. The whole concept of Elysium makes me cry every time. The ending couldn't have wrapped everything up better.","
            10/10
            "
"RayCharles81","9 December 2023","I love when you haven't seen a great movie in five years and then happen to stumble on it on the perfect night to revisit it, somewhat forgetting much of it, or at least the affecting impact it can have on you. That was me with Gladiator recently.Most has already been said, so I want to just zoom in on a couple or parts and features. Before I do, it's a great and rarely acknowledged fact that although most of the story is fictionalized, in reality, Commodus was really infatuated with the Gladiator games; he also did indeed compete and corruptly fabricated his win-loss record. Outside of the Coliseum arena, he had a statue of himself enshrined that listed his record at something like 60 wins and no losses. However, he could rig any match he wanted and most historical accounts dispute he fought on that many matches- he may have been in a dozen or so, but doubtfully was he in that many. Also, while it would be cool if, like in the film, another gladiator fought him like that in the ring, in reality, it was Commodus' trainer that was supposedly responsible for his demise. This is interesting because while many of the story components are inaccurate, one might assume that Commodus' character was completely made up also, but he truly was a big fan and even competitor in the games.The staging of the scenery and background construction of Rome is absolutely brilliant and breathtaking. It makes you really feel like you're there in many scenes. How many movies can transport you back to experience legendary Rome two thousand years ago?Even more so brilliant is how not much has changed. Sure, our athletes don't fight to the death and now get paid sufficiently, but the relation and comparison to modern day sports events is vividly shown. The same is true for the politics- yeah, it's all in there in there. While the political components are not a deep dive, the film touches on enough philosophies and strategic realities to go a little and just enough beyond the surface to paint the picture that little has changed. There's corruption, schmoozing, contempt, grandstanding, loyalties, and nepotism.Phoenix is so entertaining to watch playing the sick, twisted, power hungry, bloodlusting emporer, especially when he's enjoying the battle of Carthage. He is truly outstanding in this role, arguably missing out on an early career, deserved Oscar award. While many of his scenes are disturbing, he is always riveting.This is a movie you will lose yourself in.The Battle of Carthage is truly awesome. This was a very elaborate and complex sequence with lots of moving parts, showing that director Scott wasn't just phoning it in. When the chariot crashes through the gate, you really feel the tides turn, like this isn't what Commodus and his organizers expected. Cutting back and forth to Commodus' reactions was a great decision and likewise with all the senators' and Connie Nielson's. That was my favorite match.My second favorite match was Tigris. What a spectacle it was having the tigers pop out from underground, and Commodus' disappointment again having thought he rigged Maximus' demise was again a great revelation.Every scene is well acted, even the behind the action scenes with Commodus and his sulister, Gracchus, and Proximo and Maximus.It's truly a classic and awesome film experience. Ridley Scott must have had a ""no bull----"" rule while making the movie because it really doesn't waste a second and with sequences like Carthage battle going right into the Commodus-Maximus confrontation, and then how quickly the film goes from battle to battle, it just feels like a filmmaker who is not screwing around. I think this has to be appreciated much more, as we know so many movies today waste time and meander.My only complaint was that we didn't get to see the promised, would-be invasion of Rome with Maximus escaping and returning with his five thousand soldiers. That would have been epic beyond epic. Instead, we get a good showdown. But to its credit, I'll give it this: Maximus at least kept half of his promise, and the end result was much the same since Commodus could no longer rule and the sister and Gracchus honored Aurelias' final wish (no invasion necessary in that regard, still I would've liked the action and suspense more).Even though many try to criticize the scripts simplicity, I disagree and find the dialogue and monologues to be quality drama and somewhat Shakespearean at times. Even the weaker scenes that were probably added are just drowned out in the action and serve their purpose to keep the audience informed.And make no mistake here: this is a visual movie, and there is much more said and conveyed in the close ups of the facial expressions of the main characters, from evil glances, to vengeful scowls, to shaking jaws, tearful eyes, frightened faces, mad bloodlusting tongue stick outs, and hopeful daydream-like optimistic smiles.We all know what's going on here, witnessing humanity at its' corrupted, animalistic worst and heroic, godly, and noble best. The end result is a masterpiece of visual, visceral spectacle and drama about one man's fall and rise by honor and heroism and another's rise and fall by corruption and cowardice, in front of the backdrop of one of the seven great wonders of the world. It doesn't get much more epic than this these days!I hope my review is merciful and you are all entertained!","
            10/10
            "
"Lady_Targaryen","24 October 2005","This movie is awesome! I think it's great to be in one of IMDb's top 250 best movies, because it deserves it. Every time I watch 'Gladiator'I stay touched by the story and I never get bored of it.It's one of the most excellent movies already made in the movie's history! Russel Crowe is terrific in the role of Maximus and so is Joaquim phoenix great as commodus. For people who enjoys history,specially ancient history,is a chance to see how was Rome many centuries ago, and also know better about the gladiators, the Colosseum and how some things worked in that time.I will not write about the plot here, because many people already did this; I will only say for people that never watched this movie, that it deserves to be watched and, if you have some money, buy the DVD!","
            10/10
            "
"moondoggy88","6 March 2002","I borrowed this movie on DVD, but I wish I had seen it in the theater for it would have been a lot more fun and powerful there. Despite this, Gladiator is one of the most powerful and moving films I've ever seen. The plot goes so smooth together, as well as the acting and the terrific musical score. Director Ridley Scott puts all effort into making this film an epic, and he does just that. I'd have to say that anyone who likes Ridley Scott (I sure do) should see this. It is a lot like Ridley's other movies (Black Hawk Down was also amazing). If you can stand a little bit--well, ok a LOT of blood and gore, then you should see this. Russell Crowe shows an excellent performance like no other. I don't think there's one bad movie that Ridley Scott has made or that Russell Crowe has acted in. The fact that the brutal battles involving innocent slaves in this film actually happened in real life centuries ago makes it even more interesting and powerful. Emperor Commodus is a truely evil and life-like villian who shows a lot of his wits in attempts to get his revenge against Maximus.Ridley Scott went to many different locations to shoot this film to make it real, and he does. The film is set in Rome, and it looks just like it. You feel as if you are there in the crowd, hearing them cheer and cheer to see the death. To some of you, this may sound a little barbaric, and believe me the film is VERY barbaric and brutual, however it teaches a very strong lesson of what happens when an economy turns as violent as Rome was. Ridley Scott goes to many lengths to make this movie real, because even though the characters are fictitious, all of this really did happen. Innocent people had to go through brutual fighting while thousands of people cheered for either their death or the enemy's death. If you were an inexperienced fighter, chances are you would get killed. But the strange thing is that Rome LOVED this. People came from all over to see these fights and to see the blood that was shed, that is why you can't blame the characters in this film for being so forlorn and saddened the whole time. The film itself is very dark. The theme is dark and the ending is dark. From beginning to end there is excessive violence (for those action movie-goers, this is a movie for you). But if the violence is concerning you, don't let it. The special effects make the movie great, but it's the acting and storyline that make it spectacular. HIGHLY RECCOMMENDED for anyone who wants a good time. Definitely makes you think. ***** out of *****.","
            10/10
            "
"Russell_","12 September 2005","""Gladiator"" definitely is a classic film as it combines a simple, but moving, story with beautiful scenery, filming, direction and score  it is truly a ""complete"" movie.I am mostly compelled with the beautiful script which in a way reminds me of poetry, though it is still everyday language. I love the acting portrayed by the late Oliver Reed and also Richard Harris. Russell Crowe, Djimon Housou and Joaquin Phoenix are also superb and the parts suit them perfectly. There are also a number of less ""popular"" artists who also deserve a big ""bravo"". Amongst them I have to mention ex-Mr Universe Ralph Moeller who is mostly used as the comic relief of the movie. In Gladiator we can also the beautiful and popular Maltese TV Star and actress Ruth Frendo, who although has a small part, she is totally brilliant and outstanding.Actually I got to IMDb while I was looking for her name on the internet, in fact on IMDb she has some very stunning photos. I was lucky to meet Ruth Frendo whilst she was filming in another Maltese production. Ruth Frendo is not only a gorgeous and talented actress but she is also amazingly intelligent and very down-to-earth. We will definitely be seeing more of her work in the future... The scenery used for ""Gladiator"" is brilliant  and the opening battle scene is definitely one of my top favorite scenes. The modern camera technique contrasts sharply to the brutality of the gladiators actions and blood shed during the movie; and I love the light contrasts thanks to the lenses which most definitely have been used to create a surreal feel to the entire movie.""Gladiator"" deserves all the awards and great reviews it has received, and for those of you who still haven't gone and watched it  I can assure you that it will be well worth your time and money. So go on and rent it now!","
            10/10
            "
"paulyb","2 May 2000","The epic blockbuster returns with the 21st Century's answer to Cecil B DeMille, Ridley Scott and his dramatic tale of courage and revenge, GLADIATOR - ""the general who became a slave, the slave who became a gladiator, the gladiator who defied an emperor"".Once a great roman General, and as good as adopted son of Marcus Aurelius Caesar (Harris), Maximus (Crowe) is forced into exile by Commodus (Phoenix), heir to the throne, after the death of Marcus. Saved from death by slavers, he is purchased for use as a gladiator by Proximo (Reed) and ends up in the arena of all arena's, the Colloseum, where he proves unbeatable under his guise as ""The Spaniard"".And with a budget of over $100m, Scott certainly delivers the goods. GLADIATOR transcends the notion of 'blockbuster' that we have become accustomed to in the age of electronic and special effects wizardry and instead offers a good old fashioned action film along the lines of Spartacus and and Ben Hur. Not only are we drawn into an archetypal story that contains all the classic elements a filmgoer could dream of (love, loss, courage, despair, good triumphing over evil etc etc) - also on offer is a visual feast of cinematic painting after painting - a rich tapestry of images that are breathtaking and ultimately visually satisfying. From the plains of Germania, to the desert stronghold of Zuchobar, and finally to great Rome herself, John Mathiesion, the cinematographer is to be commended highly for his general inventiveness and ability to capture so much on film. The opening  battle scene is superb as a cast of thousands erupt across the screen and provide an indication that we are about to see a film that pays incredible attention to detail throughout its entirety. In every way, Scott has created a world for us that scuttles films of similar epic undertakings (and budgets!) and sends them to their dooms at the bottom of the murky depths of film history where they belong.The cast is generally very strong. Crowe proves himself very suitable to the task with a great emotional range and depth of character. His accent ocassionally bugged me (as did the mish mash of accents on offer - but that is I guess a legacy of 'internationally casted films'), but this aside, he was well and truly up to the task. Phoenix is also excellent as the disturbed Commodus, as is Nielson as Lucilla, the daughter of Marcus who ""should have been a son"" and finds herself torn between loyalty to her brother and doing what is 'right'. The old guard thesps of Harris, Reed and Jacobi (Grachus) are uniformly strong as supporting characters, and Spencer Treat Clark (Lucius) does a fine job as the young heir to the throne.Add to this great cast excellent editing and post production work, and an intricate soundscape (including a magnificent Hans Zimmer score), and you have a film that, despite its length, was highly palatable and had me in there from beginning to end. A must see.","
            10/10
            "
"angelo-29","6 June 2000","Once again, Director Ridley Scott proves to be as professional as one can be. The recreation of ancient Rome is splendid, with all its magnificent buildings and atmosphere and he is able to show with all brightness the greatness of the Roman Empire, with its political problems and military discipline, and love and treason, of hate and jealousy, that still have a place in our world today. But the story has a glow of its own, to which all the beautiful scenery (believe me, it's awesome!!!) and great cinematography are just balancing factors. The plot is a rich one, that is as dynamic as it is present. He once again, after Blade Runner, 1492, and others helps us visit the depths of the human soul, which remains the same over all our historical and social experience. Even the fights, are displayed in such a way that all the blood is quite discrete, but still, making us feel like screaming and jumping out of our seats. I would also like to point out the performances of the cast, that is surprisingly good. We have some actors and actresses, who are not Hollywood icons, but are are greatly able to move the audience among screams and tears. All in all, we have guys like Russel Crowe, who are coming out to be part of a new and extremely promising harvest of people who are making each time more fans around the world. Well, you should see for yourself!","
            10/10
            "
