"X","Brand_Description","Price","Review_Count","Rating"
42," The World Jewelry Center14k REAL Two Tone Gold Knot Earrings  4.9 out of 5 stars 11  $108.00$108.00 FREE delivery Sat, Feb 17 Or fastest delivery Fri, Feb 16 Small Business  Small BusinessShop products from small business brands sold in Amazon’s store. Discover more about the small businesses partnering with Amazon and Amazon’s commitment to empowering them. Learn more ",108,"11","4.9 out of 5 stars"
43," +4 colors/patternsFIASASO3 Pairs Sterling Silver Stud Hoop Earrings Set for Women Teen 925 Sterling Silver Cartilage Earrings Stud Earring Huggie Earrings Set  4.4 out of 5 stars 212  3K+ bought in past month$14.99$14.99 FREE delivery Sat, Feb 17 on $35 of items shipped by AmazonOr fastest delivery Fri, Feb 16 ",14,"212","4.4 out of 5 stars"
44," Ross-SimonsItalian Red and Pink Murano Glass Heart Drop Earrings in 18kt Gold Over Sterling  4.5 out of 5 stars 84  200+ bought in past monthTop Deal   $55.20$55.20 Typical: $69.00$69.00 FREE delivery Wed, Feb 14 Made in Italy  Made in ItalyShop products that have been wholly produced or have undergone their last substantial transformation in Italy. Discover more about “Made in Italy”, a label synonymous throughout the world with refined materials, attention to detail, and creativity. Learn more ",55,"84","4.5 out of 5 stars"
45," PAVOI14K Gold Plated Sterling Silver Post Love Knot Stud Earrings | Gold Earrings for Women  4.3 out of 5 stars 5,118  500+ bought in past month$12.95$12.95 FREE delivery Sat, Feb 17 on $35 of items shipped by AmazonOr fastest delivery Fri, Feb 16 ",12,"5,118","4.3 out of 5 stars"
46," +3 colors/patternsYEEZII44 Pairs Gold Hoop Earrings Set for Women Multipack, Fashion Dangle Heart Statement Pearl Earrings Pack, Hypoallergenic Chunky Hoops Jewelry for Birthday Party Gift  4.4 out of 5 stars 4,621  1K+ bought in past monthLimited time deal   $13.59$13.59 List: $24.99$24.99 FREE delivery Sat, Feb 17 on $35 of items shipped by AmazonOr fastest delivery Fri, Feb 16 ",13,"4,621","4.4 out of 5 stars"
47," PAVOI14K Gold Plated Solid 925 Sterling Silver Post Cubic Zirconia Flat Back Earrings for Women | Cartilage Earring | Helix Piercing Jewelry | Small Stud Earrings | Trinity, Pearl, Marquise, Opal  4.5 out of 5 stars 1,914  1K+ bought in past month$11.95$11.95 FREE delivery Sat, Feb 17 on $35 of items shipped by AmazonOr fastest delivery Thu, Feb 15 ",11,"1,914","4.5 out of 5 stars"
48," +3 colors/patternsPAVOI14K Gold Plated Cubic Zirconia Cuff Earrings Huggie Stud  4.4 out of 5 stars 39,193  1K+ bought in past month$13.95$13.95 FREE delivery Sat, Feb 17 on $35 of items shipped by AmazonOr fastest delivery Fri, Feb 16 ",13,"39,193","4.4 out of 5 stars"
1," +71VansUnisex Classic Slip-On Shoes  4.6 out of 5 stars 7,261  50+ bought in past month$48.11$48.11 List: $54.90$54.90$15.89 delivery Feb 15 - 16 Or fastest delivery Feb 14 - 15 Prime Try Before You Buy",48,"7,261","4.6 out of 5 stars"
2," +5VansUnisex-Adult Authentic(tm) Core Classics  4.7 out of 5 stars 532  $44.11$44.11 List: $59.90$59.90$15.89 delivery Feb 15 - 16 Or fastest delivery Feb 14 - 15 Prime Try Before You Buy",44,"Amazon's Choice: Overall Pick","4.7 out of 5 stars"
3," +59VansUnisex The Shoe That Started It All. The Iconic Classic Slip-on Keeps It Simp Sneaker  4.6 out of 5 stars 5,887  $48.92$48.92$14.95 delivery Feb 16 - 20 Prime Try Before You Buy",48,"5,887","4.6 out of 5 stars"
4," +16VansWomen's Old Skool(tm) Core Classics  4.6 out of 5 stars 2,626  $60.30$60.30 FREE delivery Mon, Feb 19 ",60,"2,626","4.6 out of 5 stars"
5," +22VansMen's Atwood Low-top Sneaker  4.7 out of 5 stars 12,861  50+ bought in past month$72.86$72.86 FREE delivery Mon, Feb 19 Prime Try Before You Buy",72,"12,861","4.7 out of 5 stars"
6," +31VansMen's Sk8-hi¿ Core Classics Sneaker  4.6 out of 5 stars 5,214  $50.08$50.08 List: $65.00$65.00 FREE delivery Mon, Feb 19 Prime Try Before You Buy",50,"5,214","4.6 out of 5 stars"
7," +27VansUnisex Old Skool  4.7 out of 5 stars 812  $63.90$63.90FREE delivery Tue, Feb 20 Or fastest delivery Feb 14 - 15 Prime Try Before You BuyAnother way to buy  $63.90$63.90 FREE delivery Wed, Feb 21 Or fastest delivery Wed, Feb 14  Prime Try Before You Buy  ",63,"812","4.7 out of 5 stars"
8," +221VansWomen's Low-top Trainers Sneaker  4.6 out of 5 stars 86,714  $66.00$66.00FREE international deliveryPrime Try Before You Buy",66,"86,714","4.6 out of 5 stars"
9," +18VansUnisex High top Sneakers  4.5 out of 5 stars 351  $55.08$55.08 Typical: $63.95$63.95$14.95 delivery Feb 16 - 20 Prime Try Before You Buy",55,"351","4.5 out of 5 stars"
10," +5VansUnisex Authentic True White Size  4.5 out of 5 stars 712  $59.00$59.00 List: $70.00$70.00FREE delivery Tue, Feb 20 Or fastest delivery Feb 14 - 15 Another way to buy  $58.96$58.96 List: $70.00$70.00 FREE delivery Wed, Feb 21 Or fastest delivery Wed, Feb 14   ",59,"712","4.5 out of 5 stars"
11," +20VansWomen's Free time and Sportwear, 6 AU  4.6 out of 5 stars 2,329  $60.00$60.00 Typical: $65.00$65.00FREE delivery Fri, Feb 16 ",60,"2,329","4.6 out of 5 stars"
12," +39VansMen's Filmore Decon Trainers Sneaker  4.6 out of 5 stars 86,714  $72.25$72.25 FREE delivery Mon, Feb 19 ",72,"86,714","4.6 out of 5 stars"
13," +7VansClassic Slip-On Unisex Shoes  4.5 out of 5 stars 359  $59.98$59.98 List: $84.95$84.95FREE delivery Wed, Feb 21 Or fastest delivery Wed, Feb 14 ",59,"359","4.5 out of 5 stars"
14," VansSlip On, Black Pewter Checkerboard, Size 6 Men/ 7.5 Woman  3.5 out of 5 stars 3  $51.11$51.11$15.89 delivery Feb 15 - 16 Or fastest delivery Feb 14 - 15 ",51,"3","3.5 out of 5 stars"
15," +9VansUnisex Authentic(tm) Core Classics Trainers  4.6 out of 5 stars 19,070  $62.98$62.98 List: $84.95$84.95FREE delivery Wed, Feb 21 Or fastest delivery Wed, Feb 14 ",62,"19,070","4.6 out of 5 stars"
16," +14VansMen's Sneaker  4.6 out of 5 stars 86,714  $60.08$60.08 FREE delivery Sat, Feb 17 Or fastest delivery Thu, Feb 15 Prime Try Before You Buy",60,"86,714","4.6 out of 5 stars"
17," +26adidasMen's Daily 3.0 Sneaker  4.7 out of 5 stars 14,770  200+ bought in past month$49.98$49.98 List: $65.00$65.00 FREE deliveryPrime Try Before You Buy",49,"14,770","4.7 out of 5 stars"
18," +2VansUnisex Classic Slip-On Shoes  4.7 out of 5 stars 17  $69.91$69.91 FREE delivery Sat, Feb 17 Or fastest delivery Fri, Feb 16 ",69,"17","4.7 out of 5 stars"
19," +49VansSk8-Hi Unisex Casual High-Top Skate Shoes, Comfortable and Durable in Signature Waffle Rubber Sole  4.7 out of 5 stars 4,896  $69.74$69.74 FREE delivery Sat, Feb 17 Or fastest delivery Thu, Feb 15 Prime Try Before You Buy",69,"4,896","4.7 out of 5 stars"
20," +32VansMen's Hi-Top Trainers High  4.7 out of 5 stars 5,130  $39.95$39.95 List: $70.00$70.00FREE delivery Fri, Feb 16 Or fastest delivery Thu, Feb 15 ",39,"5,130","4.7 out of 5 stars"
21," +18VansOld Skool Unisex Adults' Low-Top Trainers  4.6 out of 5 stars 86,714  $69.99$69.99FREE delivery Fri, Feb 16 Prime Try Before You Buy",69,"86,714","4.6 out of 5 stars"
22," +11VansEra (Bandana)  4.6 out of 5 stars 19,070  $68.26$68.26FREE delivery Feb 20 - 21 Prime Try Before You Buy",68,"19,070","4.6 out of 5 stars"
23," +9VansWomen's Sneaker  4.5 out of 5 stars 12,992  50+ bought in past month$65.67$65.67 Typical price: $76.13$76.13FREE international delivery",65,"12,992","4.5 out of 5 stars"
24," +11VansWomen’s Ua Classic Slip-on Low-Top Sneakers  4.7 out of 5 stars 1,615  $79.99$79.99 FREE delivery Sat, Feb 17 Or fastest delivery Fri, Feb 16 ",79,"1,615","4.7 out of 5 stars"
25," +2VansMen's High-top Trainers  4.4 out of 5 stars 210  $74.99$74.99 List: $80.01$80.01 FREE delivery Sat, Feb 17 Or fastest delivery Fri, Feb 16 ",74,"210","4.4 out of 5 stars"
26," +14VansMen's Authentic Sneakers  4.6 out of 5 stars 1,132  $65.00$65.00$14.95 delivery Feb 15 - 20 Or fastest delivery Feb 14 - 16 Prime Try Before You Buy",65,"1,132","4.6 out of 5 stars"
27," +4VansUA ComfyCush Era Men's Trainers  4.6 out of 5 stars 191  $72.04$72.04$14.95 delivery Feb 16 - 20 ",72,"191","4.6 out of 5 stars"
28," VansWomen’s Canvas Seldan Low Cut Design Platform Sneaker  3.9 out of 5 stars 16  $69.99$69.99 FREE delivery Sat, Feb 17 Or fastest delivery Fri, Feb 16 ",69,"16","3.9 out of 5 stars"
29," +91VansWomen's Low-Top Trainers  4.6 out of 5 stars 12,081  $59.99$59.99 FREE delivery Mon, Feb 19 Prime Try Before You Buy",59,"12,081","4.6 out of 5 stars"
30," +99VansUnisex Old Skool Classic Skate Shoes  4.7 out of 5 stars 31,250  50+ bought in past month$69.99$69.99FREE delivery Feb 20 - 21 Prime Try Before You Buy",69,"31,250","4.7 out of 5 stars"
31," +37ConverseWomen's Chuck Taylor All Star Lift Cozy Utility Sneakers  4.7 out of 5 stars 14,776  300+ bought in past month$75.00$75.00 FREE delivery Mon, Feb 19 Prime Try Before You Buy",75,"14,776","4.7 out of 5 stars"
32," +9VansMen's Low-top Shoes  4.4 out of 5 stars 600  No featured offers available$125.00(3 new offers)",NA,"600","4.4 out of 5 stars"
33," +38VansMen's Doheny Decon Suede Sneaker  4.6 out of 5 stars 5,735  $51.60$51.60 List: $54.95$54.95 FREE delivery Tue, Feb 20 Prime Try Before You Buy",51,"5,735","4.6 out of 5 stars"
34," +31VansMen's Seldan Sneaker  4.6 out of 5 stars 3,983  $91.77$91.77 FREE delivery Sat, Feb 17 Or fastest delivery Fri, Feb 16 Prime Try Before You Buy",91,"3,983","4.6 out of 5 stars"
35," VansUnisex-Adult Classic Slip on Sneaker  4.6 out of 5 stars 753  $46.31$46.31 List: $50.00$50.00 FREE delivery Sat, Feb 17 Or fastest delivery Thu, Feb 15 ",46,"753","4.6 out of 5 stars"
36," +31VansUnisex Closed-Toe Trainers  4.6 out of 5 stars 53  No featured offers available$55.02(12 new offers)",NA,"53","4.6 out of 5 stars"
37," +32VansWomen's Ward Trainers Sneaker  4.6 out of 5 stars 4,593  $69.99$69.99 FREE delivery Sat, Feb 17 Or fastest delivery Fri, Feb 16 ",69,"4,593","4.6 out of 5 stars"
38," +1VansU Authentic, Unisex Adults’ Sneakers  4.4 out of 5 stars 30  $42.10$42.10$15.89 delivery Feb 15 - 16 Or fastest delivery Feb 14 - 15 ",42,"30","4.4 out of 5 stars"
39," VansMen's Low-Top Trainers Sneaker, Suede Canvas Black White, 9  4.7 out of 5 stars 320  $61.70$61.70 List Price: $90.99$90.99FREE international delivery",61,"320","4.7 out of 5 stars"
40," +55VansClassic Pullover Hoodie II  4.8 out of 5 stars 1,286  $39.53$39.53 List: $54.50$54.50$14.95 delivery Feb 16 - 20 ",39,"1,286","4.8 out of 5 stars"
41," +52VansMen's Atwood Suede/Canvas Sneaker  4.6 out of 5 stars 21,551  $57.25$57.25 Typical price: $80.56$80.56FREE international deliveryPrime Try Before You Buy",57,"21,551","4.6 out of 5 stars"
42," +1VansMens Classic Bandana Sneakers  4.6 out of 5 stars 256  $75.00$75.00$14.95 delivery Feb 16 - 20 ",75,"256","4.6 out of 5 stars"
